sample_id,dataset,source_image_path,category_or_subset,provenance_group,proposed_viewpoint,review_status,manual_notes
sample_0001,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1652_1.jpg,BCS_3.25,GS_burst_0727,rear,human_verified,Farm: GS_Gansu; BCS: 3.25; Passage: GS_1652; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0003,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2127_4.jpg,BCS_3.25,GS_burst_1251,rear,human_verified,Farm: GS_Gansu; BCS: 3.25; Passage: GS_2127; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0006,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_1367_2.jpg,BCS_3.25,YM_burst_0409,rear-oblique,human_verified,Farm: YM_Farm2; BCS: 3.25; Passage: YM_1367; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0010,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1059_4.jpg,BCS_3.25,GS_burst_0068,rear,human_verified,Farm: GS_Gansu; BCS: 3.25; Passage: GS_1059; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0021,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_1724_4.jpg,BCS_3.5,YM_burst_0805,rear-oblique,human_verified,Farm: YM_Farm2; BCS: 3.5; Passage: YM_1724; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0022,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\GS_1215_4.jpg,BCS_3.5,GS_burst_0242,unknown / ambiguous,human_verified,Farm: GS_Gansu; BCS: 3.5; Passage: GS_1215; Note: Ambiguous orientation; partial crop / occlusion in chute passage; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0026,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_574_1.jpg,BCS_3.5,YM_burst_1583,rear-oblique,human_verified,Farm: YM_Farm2; BCS: 3.5; Passage: YM_574; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0030,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\GS_3170_5.jpg,BCS_3.5,GS_burst_2405,rear,human_verified,Farm: GS_Gansu; BCS: 3.5; Passage: GS_3170; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0041,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_1461_2.jpg,BCS_3.75,GS_burst_0515,rear,human_verified,Farm: GS_Gansu; BCS: 3.75; Passage: GS_1461; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0043,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\R-i10959.jpg,BCS_3.75,STEREO_burst_0241,rear,human_verified,Farm: STEREO_Farm3; BCS: 3.75; Passage: STEREO_blk_241; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0051,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\YM_301_2.jpg,BCS_3.75,YM_burst_1281,rear-oblique,human_verified,Farm: YM_Farm2; BCS: 3.75; Passage: YM_301; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0053,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\R-i7301.jpg,BCS_3.75,STEREO_burst_0154,rear,human_verified,Farm: STEREO_Farm3; BCS: 3.75; Passage: STEREO_blk_154; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0061,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\GS_328_4.jpg,BCS_4.0,GS_burst_2526,rear,human_verified,Farm: GS_Gansu; BCS: 4.0; Passage: GS_328; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0063,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\YM_289_1.jpg,BCS_4.0,YM_burst_1266,rear,human_verified,Farm: YM_Farm2; BCS: 4.0; Passage: YM_289; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0065,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\YM_1981_1.jpg,BCS_4.0,YM_burst_1089,rear-oblique,human_verified,Farm: YM_Farm2; BCS: 4.0; Passage: YM_1981; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0070,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\R-i7065.jpg,BCS_4.0,STEREO_burst_0147,rear-oblique,human_verified,Farm: STEREO_Farm3; BCS: 4.0; Passage: STEREO_blk_147; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0081,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_500_2.jpg,BCS_4.25,GS_burst_2786,rear,human_verified,Farm: GS_Gansu; BCS: 4.25; Passage: GS_500; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0082,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\YM_1144_8.jpg,BCS_4.25,YM_burst_0163,rear-oblique,human_verified,Farm: YM_Farm2; BCS: 4.25; Passage: YM_1144; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0084,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\YM_682_4.jpg,BCS_4.25,YM_burst_1703,front-oblique,human_verified,Farm: YM_Farm2; BCS: 4.25; Passage: YM_682; Note: Front-oblique perspective captured by farm camera; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0090,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\L-i414.jpg,BCS_4.25,STEREO_burst_0004,rear-oblique,human_verified,Farm: STEREO_Farm3; BCS: 4.25; Passage: STEREO_blk_004; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0104,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690310816_13-46-56_1_4.jpg,Behavior_Lying,cow_1_cam_4,side,human_verified,Behavior: Lying; Cow: 1; Cam: 4; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0105,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690344881_23-14-41_6_3.jpg,Behavior_Lying,cow_6_cam_3,side,human_verified,Behavior: Lying; Cow: 6; Cam: 3; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0107,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690345676_23-27-56_4_2.jpg,Behavior_Lying,cow_4_cam_2,unknown / ambiguous,human_verified,Behavior: Lying; Cow: 4; Cam: 2; Note: Ambiguous orientation; lying cow heavily occluded by stall bars / rails; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0117,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/2/1690281116_05-31-56_2_4.jpg,Behavior_Standing,cow_2_cam_4,side,human_verified,Behavior: Standing; Cow: 2; Cam: 4; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0120,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/2/1690290731_08-12-11_6_2.jpg,Behavior_Standing,cow_6_cam_2,side,human_verified,Behavior: Standing; Cow: 6; Cam: 2; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0124,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/2/1690335386_20-36-26_12_3.jpg,Behavior_Standing,cow_12_cam_3,rear-oblique,human_verified,Behavior: Standing; Cow: 12; Cam: 3; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0133,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/4/1690305056_12-10-56_9_1.jpg,Behavior_Feeding_head_down,cow_9_cam_1,rear,human_verified,Behavior: Feeding_head_down; Cow: 9; Cam: 1; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0137,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/4/1690311131_13-52-11_9_1.jpg,Behavior_Feeding_head_down,cow_9_cam_1,rear-oblique,human_verified,Behavior: Feeding_head_down; Cow: 9; Cam: 1; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
